title,tmdb_id,release_date,trailer_id,poster_path,overview,comment_count,runtime,genres,production_companies,tmdb_vote_average,tmdb_vote_count,budget,revenue,popularity,box_office,imdb_rating,imdb_votes,imdb_id,metacritic,rated,awards,director,actors
Captain America: Brave New World,822119,2025-02-12,5PSzFLV-EyQ,/pzIddUEMWhWzfvLI3TwxUG2wGoi.jpg,"After meeting with newly elected U.S. President Thaddeus Ross, Sam finds himself in the middle of an international incident. He must discover the reason behind a nefarious global plot before the true mastermind has the entire world seeing red.",300,119,"Action, Thriller, Science Fiction","Marvel Studios, Kevin Feige Productions",6.118,1187,180000000,409278201,348.3977,"$166,130,763",6.0,"63,779",tt14513804,42,PG-13,2 nominations total,Julius Onah,"Anthony Mackie, Harrison Ford, Danny Ramirez"
A Working Man,1197306,2025-03-26,mdfrG2cLK58,/bkbmInoAnEaMH4oxpXAXWwKr8Kd.jpg,"Levon Cade left behind a decorated military career in the black ops to live a simple life working construction. But when his boss's daughter, who is like family to him, is taken by human traffickers, his search to bring her home uncovers a world of corruption far greater than he ever could have imagined.",204,116,"Action, Crime, Thriller","Cedar Park Entertainment, BlockFilm, Punch Palace Productions, Balboa Productions, Black Bear Pictures, Fifth Season, CAT5",6.978,90,40000000,33392248,326.9602,N/A,N/A,N/A,tt8271574,N/A,N/A,N/A,Brett Wineland,"Mackenzie Baumhower, Turner Bertz-Ferrara, David Epsen"
Snow White,447273,2025-03-19,KsSoo5K8CpA,/xWWg47tTfparvjK0WJNX4xL8lW2.jpg,"Princess Snow White flees the castle when the Evil Queen, in her jealousy over Snow White's inner beauty, tries to kill her. Deep into the dark woods, she stumbles upon seven magical dwarves and a young thief named Jonathan. Together, they strive to survive the Queen's relentless pursuit and aspire to take back the kingdom in the process.",191,109,"Family, Fantasy","Walt Disney Pictures, Marc Platt Productions",4.5,464,270000000,144119098,189.5617,N/A,6.5,965,tt0093999,N/A,PG,N/A,Michael Berz,"Diana Rigg, Billy Barty, Sarah Patterson"
Mufasa: The Lion King,762509,2024-12-18,lMXh6vjiZrI,/lurEK87kukWNaHd0zYnsi3yzJrs.jpg,"Mufasa, a cub lost and alone, meets a sympathetic lion named Taka, the heir to a royal bloodline. The chance meeting sets in motion an expansive journey of a group of misfits searching for their destiny.",300,118,"Adventure, Family, Animation",Walt Disney Pictures,7.452,1831,200000000,717197856,205.9109,"$248,443,645",6.6,"44,872",tt13186482,56,PG,15 nominations total,Barry Jenkins,"Aaron Pierre, Kelvin Harrison Jr., Tiffany Boone"
Flight Risk,1126166,2025-01-22,Cml3CFDBj2s,/q0bCG4NX32iIEsRFZqRtuvzNCyZ.jpg,"A U.S. Marshal escorts a government witness to trial after he's accused of getting involved with a mob boss, only to discover that the pilot who is transporting them is also a hitman sent to assassinate the informant. After they subdue him, they're forced to fly together after discovering that there are others attempting to eliminate them.",300,91,"Action, Crime, Thriller","Davis Entertainment, Icon Productions, Hammerstone Studios, Media Capital Technologies",6.1,567,25000000,40420193,130.9885,"$29,783,527",5.3,"21,349",tt10078772,38,R,N/A,Mel Gibson,"Michelle Dockery, Mark Wahlberg, Topher Grace"
Flight Risk,1126166,2025-01-22,Cml3CFDBj2s,/q0bCG4NX32iIEsRFZqRtuvzNCyZ.jpg,"A U.S. Marshal escorts a government witness to trial after he's accused of getting involved with a mob boss, only to discover that the pilot who is transporting them is also a hitman sent to assassinate the informant. After they subdue him, they're forced to fly together after discovering that there are others attempting to eliminate them.",300,91,"Action, Crime, Thriller","Davis Entertainment, Icon Productions, Hammerstone Studios, Media Capital Technologies",6.1,567,25000000,40420193,130.9885,"$29,783,527",5.3,"21,349",tt10078772,38,R,N/A,Mel Gibson,"Michelle Dockery, Mark Wahlberg, Topher Grace"
Mickey 17,696506,2025-02-28,tA1s65o_kYM,/edKpE9B5qN3e559OuMCLZdW1iBZ.jpg,"Unlikely hero Mickey Barnes finds himself in the extraordinary circumstance of working for an employer who demands the ultimate commitment to the job… to die, for a living.",300,137,"Science Fiction, Comedy, Adventure","Warner Bros. Pictures, Plan B Entertainment, Offscreen, Kate Street Picture Company, Domain Entertainment",7.0,1073,118000000,121519374,124.1591,N/A,7.3,"2,466",tt12299608,75,R,N/A,Bong Joon Ho,"Robert Pattinson, Steven Yeun, Michael Monroe"
Kraven the Hunter,539972,2024-12-11,hR1-ihzff3I,/1GvBhRxY6MELDfxFrete6BNhBB5.jpg,"Kraven Kravinoff's complex relationship with his ruthless gangster father, Nikolai, starts him down a path of vengeance with brutal consequences, motivating him to become not only the greatest hunter in the world, but also one of its most feared.",300,127,"Action, Adventure, Thriller","Columbia Pictures, Matt Tolmach Productions, Arad Productions",6.624,1509,120000000,59184643,91.47,"$25,026,310",5.4,"44,505",tt8790086,35,R,5 nominations total,J.C. Chandor,"Aaron Taylor-Johnson, Ariana DeBose, Fred Hechinger"
Companion,1084199,2025-01-22,Qr_kX0D3DNA,/oCoTgC3UyWGfyQ9thE10ulWR7bn.jpg,"During a weekend getaway at a secluded lakeside estate, a group of friends finds themselves entangled in a web of secrets, deception, and advanced technology. As tensions rise and loyalties are tested, they uncover unsettling truths about themselves and the world around them.",300,97,"Horror, Science Fiction, Thriller","BoulderLight Pictures, New Line Cinema, Vertigo Entertainment, Subconscious, Domain Entertainment, Warner Bros. Pictures",7.075,939,10000000,36499858,94.2498,"$20,809,101",7.0,"62,373",tt26584495,70,R,1 win total,Drew Hancock,"Sophie Thatcher, Jack Quaid, Lukas Gage"
The Monkey,1124620,2025-02-14,husMGbXEIho,/yYa8Onk9ow7ukcnfp2QWVvjWYel.jpg,"When twin brothers find a mysterious wind-up monkey, a series of outrageous deaths tear their family apart. Twenty-five years later, the monkey begins a new killing spree forcing the estranged brothers to confront the cursed toy.",300,98,"Horror, Comedy","Atomic Monster, C2 Motion Picture Group, Range Media Partners, Oddfellows Entertainment, The Safran Company, Stars Collective",5.966,341,10000000,64092278,76.5189,N/A,7.0,399,tt27714946,67,R,N/A,Osgood Perkins,"Theo James, Tatiana Maslany, Christian Convery"
Gladiator II,558449,2024-11-13,TQwSz88ITAE,/2cxhvwyEwRlysAmRH4iodkvo0z5.jpg,"Years after witnessing the death of the revered hero Maximus at the hands of his uncle, Lucius is forced to enter the Colosseum after his home is conquered by the tyrannical Emperors who now lead Rome with an iron fist. With rage in his heart and the future of the Empire at stake, Lucius must look to his past to find strength and honor to return the glory of Rome to its people.",300,148,"Action, Adventure, Drama","Paramount Pictures, Scott Free Productions, Lucy Fisher/Douglas Wick Productions",6.767,3121,310000000,458718000,66.2989,"$172,118,000",6.6,"172,374",tt9218128,64,R,Nominated for 3 BAFTA 3 wins & 86 nominations total,Ridley Scott,"Paul Mescal, Denzel Washington, Pedro Pascal"
Solo Leveling -ReAwakening-,1357633,2024-11-26,UdIXUDpeTXU,/dblIFen0bNZAq8icJXHwrjfymDW.jpg,"Over a decade after 'gates' connecting worlds appeared, awakening 'hunters' with superpowers, weakest hunter Sung Jinwoo encounters a double dungeon and accepts a mysterious quest, becoming the only one able to level up, changing his fate. A catch-up recap of the first season coupled with an exclusive sneak peek of the first two episodes of the highly anticipated second season in one momentous theatrical fan experience.",300,116,"Action, Adventure, Fantasy, Animation","Aniplex, A-1 Pictures",6.9,176,0,6331827,66.8951,"$3,350,693",8.6,"5,541",tt33428606,N/A,R,N/A,Shunsuke Nakashige,"Taito Ban, Geoff Bisente, Drew Breedlove"
Deadpool & Wolverine,533535,2024-07-24,Idh8n5XuYIA,/8cdWjvZQUExUUTzyp4t6EDMubfO.jpg,"A listless Wade Wilson toils away in civilian life with his days as the morally flexible mercenary, Deadpool, behind him. But when his homeworld faces an existential threat, Wade must reluctantly suit-up again with an even more reluctant Wolverine.",300,128,"Action, Comedy, Science Fiction","Marvel Studios, Maximum Effort, 21 Laps Entertainment, 20th Century Studios, Kevin Feige Productions, TSG Entertainment",7.6,6984,200000000,1338073645,61.7916,"$636,745,858",7.6,"480,069",tt6263850,56,R,18 wins & 53 nominations total,Shawn Levy,"Ryan Reynolds, Hugh Jackman, Emma Corrin"
Uppercut,1391385,2025-01-23,GggpSObx9Xo,/zv4jdLV7wuQGwhwAOeD7qzd8eSF.jpg,"When Elliott, a tough ex-boxing champion, accepts the challenge to train Toni, the two mismatched characters form an unlikely alliance. Their sparring and Elliott's keen insights show the resilient young fighter that real strength comes from the challenges you overcome when life throws its biggest punches your way.",209,104,"Drama, Thriller","Hello Moment Productions, Goodweird Studios, Penned Pictures, It's Just Us Productions, HowRU? Entertainment, Huffman Creative, GroupM Motion Entertainment",4.2,7,0,0,49.0635,$1,3.5,412,tt29603375,N/A,R,N/A,Torsten Ruether,"Ving Rhames, Luise Großmann, Jordan E. Cooper"
Presence,1140535,2025-01-16,Ay4MJZH6_K8,/hZ8dTeBzigV5SVgwG1ikSROAFiS.jpg,"A couple, Rebekah and Chris, and their children, Tyler and Chloe, move into a seemingly normal suburban home. When strange occurrences occur, they begin to believe that there is something else in the house with them. The presence is about to disrupt their lives in unimaginable ways.",300,85,"Horror, Drama, Thriller","Extension 765, The Spectral Spirit Company",6.0,247,2000000,9284015,54.4005,"$4,321,970",6.7,"4,246",tt28249919,77,R,N/A,Steven Soderbergh,"Lucy Liu, Chris Sullivan, Callina Liang"
xXx,7451,2002-08-09,NgPdDDzVhkA,/xeEw3eLeSFmJgXZzmF2Efww0q3s.jpg,"Xander Cage is your standard adrenaline junkie with no fear and a lousy attitude. When the US Government ""recruits"" him to go on a mission, he's not exactly thrilled. His mission: to gather information on an organization that may just be planning the destruction of the world, led by the nihilistic Yorgi.",171,124,"Action, Adventure, Thriller, Crime","Columbia Pictures, Original Film, Revolution Studios, Neal H. Moritz Productions",5.9,4384,70000000,277448382,54.2858,"$142,109,382",5.8,"189,673",tt0295701,48,PG-13,4 wins & 14 nominations total,Rob Cohen,"Vin Diesel, Asia Argento, Marton Csokas"
Anora,1064213,2024-10-14,8m6UrWMl18M,/7MrgIUeq0DD2iF7GR6wqJfYZNeC.jpg,"A young sex worker from Brooklyn gets her chance at a Cinderella story when she meets and impulsively marries the son of an oligarch. Once the news reaches Russia, her fairytale is threatened as his parents set out to get the marriage annulled.",208,139,"Drama, Comedy, Romance","Cre Film, FilmNation Entertainment",7.1,1936,6000000,51868503,52.6544,"$16,300,129",7.8,"122,308",tt28607951,91,R,Won 5 Oscars. 144 wins & 267 nominations total,Sean Baker,"Mikey Madison, Paul Weissman, Yura Borisov"
The Wild Robot,1184918,2024-09-12,VUCNBAmse04,/wTnV3PCVW5O92JMrFvvrRcV39RU.jpg,"After a shipwreck, an intelligent robot called Roz is stranded on an uninhabited island. To survive the harsh environment, Roz bonds with the island's animals and cares for an orphaned baby goose.",300,102,"Animation, Science Fiction, Family",DreamWorks Animation,8.335,4626,78000000,331982078,52.3186,"$143,901,945",8.2,"151,636",tt29623480,85,PG,Nominated for 3 Oscars. 85 wins & 104 nominations total,Chris Sanders,"Lupita Nyong'o, Pedro Pascal, Kit Connor"
Love Hurts,1226406,2025-02-06,y7_gi1-bIJs,/skPPVeHoTTVVSJlb0Ib5vrqiuA4.jpg,"A realtor is pulled back into the life he left behind after his former partner-in-crime resurfaces with an ominous message. With his crime-lord brother also on his trail, he must confront his past and the history he never fully buried.",185,83,"Action, Comedy, Romance","87North Productions, Universal Pictures, dentsu",5.94,142,18000000,16958671,49.7896,"$15,683,090",5.3,"6,793",tt30788842,34,R,N/A,Jonathan Eusebio,"Ke Huy Quan, Ariana DeBose, Mustafa Shakir"
Inside Out 2,1022789,2024-06-11,u69y5Ie519M,/vpnVM9B6NMmQpWeZvzLvDESb2QY.jpg,"Teenager Riley's mind headquarters is undergoing a sudden demolition to make room for something entirely unexpected: new Emotions! Joy, Sadness, Anger, Fear and Disgust, who’ve long been running a successful operation by all accounts, aren’t sure how to feel when Anxiety shows up. And it looks like she’s not alone.",300,97,"Animation, Adventure, Comedy, Family","Walt Disney Pictures, Pixar",7.6,5705,200000000,1698863816,49.6231,"$652,980,194",7.5,"211,354",tt22022452,73,PG,Nominated for 1 Oscar. 4 wins & 105 nominations total,Kelsey Mann,"Amy Poehler, Maya Hawke, Kensington Tallman"
Dog Man,774370,2025-01-24,QaJbAennB_Q,/89wNiexZdvLQ41OQWIsQy4O6jAQ.jpg,"When a faithful police dog and his human police officer owner are injured together on the job, a harebrained but life-saving surgery fuses the two of them together and Dog Man is born. Dog Man is sworn to protect and serve—and fetch, sit and roll over. As Dog Man embraces his new identity and strives to impress his Chief, he must stop the pretty evil plots of feline supervillain Petey the Cat.",300,89,"Family, Animation, Comedy, Action",DreamWorks Animation,7.8,183,40000000,114192145,43.9066,"$90,317,665",6.5,"6,663",tt10954718,66,PG,N/A,Peter Hastings,"Pete Davidson, Poppy Liu, Lil Rel Howery"
The Godfather,238,1972-03-14,Ew9ngL1GZvs,/3bhkrj58Vtu7enYsRolD1fZdja1.jpg,"Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge.",246,175,"Drama, Crime","Paramount Pictures, Alfran Productions",8.686,21256,6000000,245066411,43.2585,"$136,381,073",9.2,"2,108,592",tt0068646,100,R,Won 3 Oscars. 31 wins & 31 nominations total,Francis Ford Coppola,"Marlon Brando, Al Pacino, James Caan"
Blade Runner 2049,335984,2017-10-04,geFtxCSz8xI,/gajva2L0rPYkEWjzgFlBXCAVBE5.jpg,"Thirty years after the events of the first film, a new blade runner, LAPD Officer K, unearths a long-buried secret that has the potential to plunge what's left of society into chaos. K's discovery leads him on a quest to find Rick Deckard, a former LAPD blade runner who has been missing for 30 years.",300,164,"Science Fiction, Drama","Alcon Entertainment, Columbia Pictures, Scott Free Productions, Bud Yorkin Productions, Torridon Films, 16:14 Entertainment",7.576,14004,150000000,259239658,42.1022,"$92,071,675",8.0,"707,502",tt1856101,81,R,Won 2 Oscars. 100 wins & 163 nominations total,Denis Villeneuve,"Harrison Ford, Ryan Gosling, Ana de Armas"
Interstellar,157336,2014-11-05,LY19rHKAaAg,/gEU2QniE6E77NI6lCU6MxlNBvIx.jpg,The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,116,169,"Adventure, Drama, Science Fiction","Legendary Pictures, Syncopy, Lynda Obst Productions",8.453,36847,165000000,746606706,42.2799,"$203,227,580",8.7,"2,301,429",tt0816692,74,PG-13,Won 1 Oscar. 44 wins & 148 nominations total,Christopher Nolan,"Matthew McConaughey, Anne Hathaway, Jessica Chastain"
